Date,Year,Month,Day,Weekday,Weekday_Num,Global_active_power_kWh
2006-12-16,2006,12,16,Saturday,5,20.152933333333333
2006-12-17,2006,12,17,Sunday,6,56.507666666666665
2006-12-18,2006,12,18,Monday,0,36.73043333333333
2006-12-19,2006,12,19,Tuesday,1,27.7699
2006-12-20,2006,12,20,Wednesday,2,37.095800000000004
2006-12-21,2006,12,21,Thursday,3,28.610400000000002
2006-12-22,2006,12,22,Friday,4,39.0223
2006-12-23,2006,12,23,Saturday,5,79.55643333333335
2006-12-24,2006,12,24,Sunday,6,42.5002
2006-12-25,2006,12,25,Monday,0,45.718666666666664
2006-12-26,2006,12,26,Tuesday,1,65.5685
2006-12-27,2006,12,27,Wednesday,2,25.479333333333333
2006-12-28,2006,12,28,Thursday,3,34.54396666666666
2006-12-29,2006,12,29,Friday,4,52.90653333333333
2006-12-30,2006,12,30,Saturday,5,46.48836666666667
2006-12-31,2006,12,31,Sunday,6,58.236599999999996
2007-01-01,2007,1,1,Monday,0,45.81673333333333
2007-01-02,2007,1,2,Tuesday,1,21.153933333333335
2007-01-03,2007,1,3,Wednesday,2,16.9009
2007-01-04,2007,1,4,Thursday,3,54.32353333333333
2007-01-05,2007,1,5,Friday,4,45.22273333333333
2007-01-06,2007,1,6,Saturday,5,25.139633333333332
2007-01-07,2007,1,7,Sunday,6,40.79366666666667
2007-01-08,2007,1,8,Monday,0,37.356
2007-01-09,2007,1,9,Tuesday,1,31.1509
2007-01-10,2007,1,10,Wednesday,2,35.913333333333334
2007-01-11,2007,1,11,Thursday,3,37.58656666666666
2007-01-12,2007,1,12,Friday,4,24.354933333333335
2007-01-13,2007,1,13,Saturday,5,53.113566666666664
2007-01-14,2007,1,14,Sunday,6,50.130266666666664
2007-01-15,2007,1,15,Monday,0,35.811299999999996
2007-01-16,2007,1,16,Tuesday,1,28.106733333333334
2007-01-17,2007,1,17,Wednesday,2,47.46146666666667
2007-01-18,2007,1,18,Thursday,3,30.3577
2007-01-19,2007,1,19,Friday,4,24.674
2007-01-20,2007,1,20,Saturday,5,52.22886666666667
2007-01-21,2007,1,21,Sunday,6,56.7877
2007-01-22,2007,1,22,Monday,0,36.34156666666667
2007-01-23,2007,1,23,Tuesday,1,29.627333333333336
2007-01-24,2007,1,24,Wednesday,2,49.79756666666666
2007-01-25,2007,1,25,Thursday,3,26.605733333333333
2007-01-26,2007,1,26,Friday,4,26.9662
2007-01-27,2007,1,27,Saturday,5,34.06786666666667
2007-01-28,2007,1,28,Sunday,6,51.503400000000006
2007-01-29,2007,1,29,Monday,0,33.0444
2007-01-30,2007,1,30,Tuesday,1,28.4633
2007-01-31,2007,1,31,Wednesday,2,39.39586666666666
2007-02-01,2007,2,1,Thursday,3,30.412666666666667
2007-02-02,2007,2,2,Friday,4,27.7956
2007-02-03,2007,2,3,Saturday,5,67.16203333333334
2007-02-04,2007,2,4,Sunday,6,59.93233333333333
2007-02-05,2007,2,5,Monday,0,27.421333333333333
2007-02-06,2007,2,6,Tuesday,1,21.224666666666668
2007-02-07,2007,2,7,Wednesday,2,38.8003
2007-02-08,2007,2,8,Thursday,3,30.023566666666667
2007-02-09,2007,2,9,Friday,4,27.003300000000003
2007-02-10,2007,2,10,Saturday,5,47.15546666666667
2007-02-11,2007,2,11,Sunday,6,59.52046666666667
2007-02-12,2007,2,12,Monday,0,31.293499999999998
2007-02-13,2007,2,13,Tuesday,1,23.575766666666667
2007-02-14,2007,2,14,Wednesday,2,41.644533333333335
2007-02-15,2007,2,15,Thursday,3,33.0891
2007-02-16,2007,2,16,Friday,4,28.375466666666668
2007-02-17,2007,2,17,Saturday,5,34.615199999999994
2007-02-18,2007,2,18,Sunday,6,63.82936666666667
2007-02-19,2007,2,19,Monday,0,36.44356666666667
2007-02-20,2007,2,20,Tuesday,1,52.498799999999996
2007-02-21,2007,2,21,Wednesday,2,34.5479
2007-02-22,2007,2,22,Thursday,3,56.15796666666667
2007-02-23,2007,2,23,Friday,4,21.891333333333332
2007-02-24,2007,2,24,Saturday,5,11.915366666666667
2007-02-25,2007,2,25,Sunday,6,8.362333333333334
2007-02-26,2007,2,26,Monday,0,9.474733333333335
2007-02-27,2007,2,27,Tuesday,1,8.6352
2007-02-28,2007,2,28,Wednesday,2,8.679566666666666
2007-03-01,2007,3,1,Thursday,3,8.626066666666667
2007-03-02,2007,3,2,Friday,4,8.5948
2007-03-03,2007,3,3,Saturday,5,13.652033333333332
2007-03-04,2007,3,4,Sunday,6,34.845
2007-03-05,2007,3,5,Monday,0,44.33886666666667
2007-03-06,2007,3,6,Tuesday,1,20.775
2007-03-07,2007,3,7,Wednesday,2,39.58676666666667
2007-03-08,2007,3,8,Thursday,3,26.2022
2007-03-09,2007,3,9,Friday,4,21.2102
2007-03-10,2007,3,10,Saturday,5,41.41186666666667
2007-03-11,2007,3,11,Sunday,6,58.0106
2007-03-12,2007,3,12,Monday,0,32.51113333333333
2007-03-13,2007,3,13,Tuesday,1,21.5024
2007-03-14,2007,3,14,Wednesday,2,29.889400000000002
2007-03-15,2007,3,15,Thursday,3,31.413566666666668
2007-03-16,2007,3,16,Friday,4,28.36756666666667
2007-03-17,2007,3,17,Saturday,5,33.8015
2007-03-18,2007,3,18,Sunday,6,39.51743333333333
2007-03-19,2007,3,19,Monday,0,35.8753
2007-03-20,2007,3,20,Tuesday,1,34.77046666666667
2007-03-21,2007,3,21,Wednesday,2,35.70153333333334
2007-03-22,2007,3,22,Thursday,3,24.249633333333335
2007-03-23,2007,3,23,Friday,4,21.8168
2007-03-24,2007,3,24,Saturday,5,49.47383333333333
2007-03-25,2007,3,25,Sunday,6,55.602066666666666
2007-03-26,2007,3,26,Monday,0,23.601366666666667
2007-03-27,2007,3,27,Tuesday,1,18.419
2007-03-28,2007,3,28,Wednesday,2,38.8983
2007-03-29,2007,3,29,Thursday,3,26.506766666666667
2007-03-30,2007,3,30,Friday,4,23.373233333333335
2007-03-31,2007,3,31,Saturday,5,58.49183333333334
2007-04-01,2007,4,1,Sunday,6,46.43253333333333
2007-04-02,2007,4,2,Monday,0,32.679633333333335
2007-04-03,2007,4,3,Tuesday,1,27.380333333333333
2007-04-04,2007,4,4,Wednesday,2,34.1978
2007-04-05,2007,4,5,Thursday,3,30.73463333333333
2007-04-06,2007,4,6,Friday,4,26.68566666666667
2007-04-07,2007,4,7,Saturday,5,25.898733333333332
2007-04-08,2007,4,8,Sunday,6,26.8136
2007-04-09,2007,4,9,Monday,0,16.682
2007-04-10,2007,4,10,Tuesday,1,12.956066666666667
2007-04-11,2007,4,11,Wednesday,2,14.791366666666667
2007-04-12,2007,4,12,Thursday,3,8.961766666666668
2007-04-13,2007,4,13,Friday,4,9.1837
2007-04-14,2007,4,14,Saturday,5,9.2378
2007-04-15,2007,4,15,Sunday,6,12.102733333333333
2007-04-16,2007,4,16,Monday,0,15.873166666666666
2007-04-17,2007,4,17,Tuesday,1,20.395566666666664
2007-04-18,2007,4,18,Wednesday,2,16.637433333333334
2007-04-19,2007,4,19,Thursday,3,17.144299999999998
2007-04-20,2007,4,20,Friday,4,13.709666666666667
2007-04-21,2007,4,21,Saturday,5,27.894266666666667
2007-04-22,2007,4,22,Sunday,6,37.228566666666666
2007-04-23,2007,4,23,Monday,0,17.5761
2007-04-24,2007,4,24,Tuesday,1,17.201666666666664
2007-04-25,2007,4,25,Wednesday,2,21.069366666666667
2007-04-26,2007,4,26,Thursday,3,21.257766666666665
2007-04-27,2007,4,27,Friday,4,18.23886666666667
2007-04-28,2007,4,28,Saturday,5,0.3789666666666667
2007-04-29,2007,4,29,Sunday,6,0.0
2007-04-30,2007,4,30,Monday,0,7.0137
2007-05-01,2007,5,1,Tuesday,1,27.730966666666667
2007-05-02,2007,5,2,Wednesday,2,16.724766666666667
2007-05-03,2007,5,3,Thursday,3,18.170633333333335
2007-05-04,2007,5,4,Friday,4,16.635466666666666
2007-05-05,2007,5,5,Saturday,5,26.050866666666664
2007-05-06,2007,5,6,Sunday,6,35.035066666666665
2007-05-07,2007,5,7,Monday,0,27.3944
2007-05-08,2007,5,8,Tuesday,1,29.82153333333333
2007-05-09,2007,5,9,Wednesday,2,27.76226666666667
2007-05-10,2007,5,10,Thursday,3,11.798066666666667
2007-05-11,2007,5,11,Friday,4,16.319233333333333
2007-05-12,2007,5,12,Saturday,5,24.0261
2007-05-13,2007,5,13,Sunday,6,27.245633333333334
2007-05-14,2007,5,14,Monday,0,24.463033333333332
2007-05-15,2007,5,15,Tuesday,1,15.073200000000002
2007-05-16,2007,5,16,Wednesday,2,28.215733333333333
2007-05-17,2007,5,17,Thursday,3,20.530266666666666
2007-05-18,2007,5,18,Friday,4,27.192166666666665
2007-05-19,2007,5,19,Saturday,5,23.824033333333333
2007-05-20,2007,5,20,Sunday,6,32.80546666666667
2007-05-21,2007,5,21,Monday,0,18.6677
2007-05-22,2007,5,22,Tuesday,1,18.88086666666667
2007-05-23,2007,5,23,Wednesday,2,24.415599999999998
2007-05-24,2007,5,24,Thursday,3,19.2398
2007-05-25,2007,5,25,Friday,4,26.903666666666666
2007-05-26,2007,5,26,Saturday,5,25.204133333333335
2007-05-27,2007,5,27,Sunday,6,35.8968
2007-05-28,2007,5,28,Monday,0,27.291133333333335
2007-05-29,2007,5,29,Tuesday,1,17.689
2007-05-30,2007,5,30,Wednesday,2,26.8311
2007-05-31,2007,5,31,Thursday,3,15.6425
2007-06-01,2007,6,1,Friday,4,17.4153
2007-06-02,2007,6,2,Saturday,5,24.73936666666667
2007-06-03,2007,6,3,Sunday,6,35.133766666666666
2007-06-04,2007,6,4,Monday,0,15.193633333333334
2007-06-05,2007,6,5,Tuesday,1,24.314866666666667
2007-06-06,2007,6,6,Wednesday,2,28.2273
2007-06-07,2007,6,7,Thursday,3,16.4167
2007-06-08,2007,6,8,Friday,4,35.80076666666666
2007-06-09,2007,6,9,Saturday,5,17.663566666666668
2007-06-10,2007,6,10,Sunday,6,22.346866666666664
2007-06-11,2007,6,11,Monday,0,13.244233333333334
2007-06-12,2007,6,12,Tuesday,1,15.312766666666667
2007-06-13,2007,6,13,Wednesday,2,15.454533333333334
2007-06-14,2007,6,14,Thursday,3,20.984733333333335
2007-06-15,2007,6,15,Friday,4,16.4934
2007-06-16,2007,6,16,Saturday,5,33.62936666666666
2007-06-17,2007,6,17,Sunday,6,32.451499999999996
2007-06-18,2007,6,18,Monday,0,11.3079
2007-06-19,2007,6,19,Tuesday,1,14.039333333333333
2007-06-20,2007,6,20,Wednesday,2,17.904766666666667
2007-06-21,2007,6,21,Thursday,3,13.4491
2007-06-22,2007,6,22,Friday,4,9.438233333333333
2007-06-23,2007,6,23,Saturday,5,7.959433333333334
2007-06-24,2007,6,24,Sunday,6,11.910933333333332
2007-06-25,2007,6,25,Monday,0,17.870033333333332
2007-06-26,2007,6,26,Tuesday,1,15.748466666666667
2007-06-27,2007,6,27,Wednesday,2,24.680433333333333
2007-06-28,2007,6,28,Thursday,3,21.590633333333336
2007-06-29,2007,6,29,Friday,4,21.736633333333334
2007-06-30,2007,6,30,Saturday,5,22.255233333333333
2007-07-01,2007,7,1,Sunday,6,17.111066666666666
2007-07-02,2007,7,2,Monday,0,16.1172
2007-07-03,2007,7,3,Tuesday,1,17.665200000000002
2007-07-04,2007,7,4,Wednesday,2,16.723499999999998
2007-07-05,2007,7,5,Thursday,3,17.6215
2007-07-06,2007,7,6,Friday,4,17.825400000000002
2007-07-07,2007,7,7,Saturday,5,22.636766666666666
2007-07-08,2007,7,8,Sunday,6,18.151333333333334
2007-07-09,2007,7,9,Monday,0,19.6693
2007-07-10,2007,7,10,Tuesday,1,15.138733333333333
2007-07-11,2007,7,11,Wednesday,2,12.0392
2007-07-12,2007,7,12,Thursday,3,17.82636666666667
2007-07-13,2007,7,13,Friday,4,13.2397
2007-07-14,2007,7,14,Saturday,5,21.4695
2007-07-15,2007,7,15,Sunday,6,15.283733333333334
2007-07-16,2007,7,16,Monday,0,14.2279
2007-07-17,2007,7,17,Tuesday,1,11.993866666666666
2007-07-18,2007,7,18,Wednesday,2,12.618033333333333
2007-07-19,2007,7,19,Thursday,3,11.2981
2007-07-20,2007,7,20,Friday,4,18.507033333333332
2007-07-21,2007,7,21,Saturday,5,17.6708
2007-07-22,2007,7,22,Sunday,6,22.92956666666667
2007-07-23,2007,7,23,Monday,0,16.51696666666667
2007-07-24,2007,7,24,Tuesday,1,13.754733333333332
2007-07-25,2007,7,25,Wednesday,2,7.876
2007-07-26,2007,7,26,Thursday,3,15.408333333333333
2007-07-27,2007,7,27,Friday,4,20.0419
2007-07-28,2007,7,28,Saturday,5,27.031033333333333
2007-07-29,2007,7,29,Sunday,6,5.351933333333333
2007-07-30,2007,7,30,Monday,0,7.780266666666666
2007-07-31,2007,7,31,Tuesday,1,13.538866666666667
2007-08-01,2007,8,1,Wednesday,2,17.6723
2007-08-02,2007,8,2,Thursday,3,16.990266666666667
2007-08-03,2007,8,3,Friday,4,17.722733333333334
2007-08-04,2007,8,4,Saturday,5,19.083166666666667
2007-08-05,2007,8,5,Sunday,6,13.1183
2007-08-06,2007,8,6,Monday,0,18.162
2007-08-07,2007,8,7,Tuesday,1,24.726333333333333
2007-08-08,2007,8,8,Wednesday,2,18.758033333333334
2007-08-09,2007,8,9,Thursday,3,17.861333333333334
2007-08-10,2007,8,10,Friday,4,17.1335
2007-08-11,2007,8,11,Saturday,5,18.194166666666668
2007-08-12,2007,8,12,Sunday,6,20.6984
2007-08-13,2007,8,13,Monday,0,19.216866666666665
2007-08-14,2007,8,14,Tuesday,1,15.686499999999999
2007-08-15,2007,8,15,Wednesday,2,19.86433333333333
2007-08-16,2007,8,16,Thursday,3,15.974933333333333
2007-08-17,2007,8,17,Friday,4,16.831533333333333
2007-08-18,2007,8,18,Saturday,5,5.799333333333333
2007-08-19,2007,8,19,Sunday,6,23.704900000000002
2007-08-20,2007,8,20,Monday,0,22.314033333333334
2007-08-21,2007,8,21,Tuesday,1,10.709266666666668
2007-08-22,2007,8,22,Wednesday,2,20.163466666666668
2007-08-23,2007,8,23,Thursday,3,18.53853333333333
2007-08-24,2007,8,24,Friday,4,27.603566666666666
2007-08-25,2007,8,25,Saturday,5,19.181333333333335
2007-08-26,2007,8,26,Sunday,6,21.9151
2007-08-27,2007,8,27,Monday,0,20.1955
2007-08-28,2007,8,28,Tuesday,1,16.616733333333332
2007-08-29,2007,8,29,Wednesday,2,12.466533333333333
2007-08-30,2007,8,30,Thursday,3,20.04096666666667
2007-08-31,2007,8,31,Friday,4,21.330366666666666
2007-09-01,2007,9,1,Saturday,5,28.3581
2007-09-02,2007,9,2,Sunday,6,27.707800000000002
2007-09-03,2007,9,3,Monday,0,17.315366666666666
2007-09-04,2007,9,4,Tuesday,1,26.415733333333332
2007-09-05,2007,9,5,Wednesday,2,20.60953333333333
2007-09-06,2007,9,6,Thursday,3,15.024566666666667
2007-09-07,2007,9,7,Friday,4,22.274933333333333
2007-09-08,2007,9,8,Saturday,5,24.495866666666664
2007-09-09,2007,9,9,Sunday,6,27.991699999999998
2007-09-10,2007,9,10,Monday,0,18.622933333333332
2007-09-11,2007,9,11,Tuesday,1,16.392866666666666
2007-09-12,2007,9,12,Wednesday,2,21.462733333333333
2007-09-13,2007,9,13,Thursday,3,19.106366666666666
2007-09-14,2007,9,14,Friday,4,18.924500000000002
2007-09-15,2007,9,15,Saturday,5,18.2552
2007-09-16,2007,9,16,Sunday,6,27.537066666666664
2007-09-17,2007,9,17,Monday,0,24.353099999999998
2007-09-18,2007,9,18,Tuesday,1,19.458666666666666
2007-09-19,2007,9,19,Wednesday,2,21.64473333333333
2007-09-20,2007,9,20,Thursday,3,20.92553333333333
2007-09-21,2007,9,21,Friday,4,20.646333333333335
2007-09-22,2007,9,22,Saturday,5,19.602866666666667
2007-09-23,2007,9,23,Sunday,6,23.632833333333334
2007-09-24,2007,9,24,Monday,0,22.575499999999998
2007-09-25,2007,9,25,Tuesday,1,29.405700000000003
2007-09-26,2007,9,26,Wednesday,2,30.371066666666664
2007-09-27,2007,9,27,Thursday,3,23.209999999999997
2007-09-28,2007,9,28,Friday,4,28.008300000000002
2007-09-29,2007,9,29,Saturday,5,38.27536666666666
2007-09-30,2007,9,30,Sunday,6,25.2715
2007-10-01,2007,10,1,Monday,0,28.682033333333333
2007-10-02,2007,10,2,Tuesday,1,36.647733333333335
2007-10-03,2007,10,3,Wednesday,2,21.340899999999998
2007-10-04,2007,10,4,Thursday,3,25.307633333333335
2007-10-05,2007,10,5,Friday,4,23.23486666666667
2007-10-06,2007,10,6,Saturday,5,29.270666666666667
2007-10-07,2007,10,7,Sunday,6,35.1019
2007-10-08,2007,10,8,Monday,0,18.254033333333332
2007-10-09,2007,10,9,Tuesday,1,28.130966666666666
2007-10-10,2007,10,10,Wednesday,2,19.44953333333333
2007-10-11,2007,10,11,Thursday,3,28.8741
2007-10-12,2007,10,12,Friday,4,31.908399999999997
2007-10-13,2007,10,13,Saturday,5,32.11213333333333
2007-10-14,2007,10,14,Sunday,6,34.3542
2007-10-15,2007,10,15,Monday,0,21.1055
2007-10-16,2007,10,16,Tuesday,1,32.7407
2007-10-17,2007,10,17,Wednesday,2,26.28216666666667
2007-10-18,2007,10,18,Thursday,3,25.308833333333332
2007-10-19,2007,10,19,Friday,4,34.7608
2007-10-20,2007,10,20,Saturday,5,27.67076666666667
2007-10-21,2007,10,21,Sunday,6,32.36566666666667
2007-10-22,2007,10,22,Monday,0,27.548266666666667
2007-10-23,2007,10,23,Tuesday,1,32.577466666666666
2007-10-24,2007,10,24,Wednesday,2,31.093933333333332
2007-10-25,2007,10,25,Thursday,3,30.898633333333333
2007-10-26,2007,10,26,Friday,4,23.959466666666668
2007-10-27,2007,10,27,Saturday,5,29.761466666666667
2007-10-28,2007,10,28,Sunday,6,8.535966666666667
2007-10-29,2007,10,29,Monday,0,9.090466666666666
2007-10-30,2007,10,30,Tuesday,1,13.5168
2007-10-31,2007,10,31,Wednesday,2,21.386833333333335
2007-11-01,2007,11,1,Thursday,3,8.270266666666666
2007-11-02,2007,11,2,Friday,4,24.060033333333333
2007-11-03,2007,11,3,Saturday,5,8.209166666666667
2007-11-04,2007,11,4,Sunday,6,24.761433333333333
2007-11-05,2007,11,5,Monday,0,25.009866666666667
2007-11-06,2007,11,6,Tuesday,1,34.706300000000006
2007-11-07,2007,11,7,Wednesday,2,30.745966666666668
2007-11-08,2007,11,8,Thursday,3,25.017666666666667
2007-11-09,2007,11,9,Friday,4,36.1871
2007-11-10,2007,11,10,Saturday,5,43.526666666666664
2007-11-11,2007,11,11,Sunday,6,31.452066666666667
2007-11-12,2007,11,12,Monday,0,35.93576666666667
2007-11-13,2007,11,13,Tuesday,1,36.90663333333334
2007-11-14,2007,11,14,Wednesday,2,34.13323333333333
2007-11-15,2007,11,15,Thursday,3,24.866466666666668
2007-11-16,2007,11,16,Friday,4,38.4959
2007-11-17,2007,11,17,Saturday,5,43.50156666666667
2007-11-18,2007,11,18,Sunday,6,36.39763333333334
2007-11-19,2007,11,19,Monday,0,28.727566666666668
2007-11-20,2007,11,20,Tuesday,1,34.930933333333336
2007-11-21,2007,11,21,Wednesday,2,29.197266666666668
2007-11-22,2007,11,22,Thursday,3,32.2063
2007-11-23,2007,11,23,Friday,4,42.04363333333333
2007-11-24,2007,11,24,Saturday,5,31.6509
2007-11-25,2007,11,25,Sunday,6,23.259966666666667
2007-11-26,2007,11,26,Monday,0,26.16193333333333
2007-11-27,2007,11,27,Tuesday,1,46.68353333333334
2007-11-28,2007,11,28,Wednesday,2,27.415666666666667
2007-11-29,2007,11,29,Thursday,3,28.653833333333335
2007-11-30,2007,11,30,Friday,4,38.86213333333333
2007-12-01,2007,12,1,Saturday,5,52.24903333333334
2007-12-02,2007,12,2,Sunday,6,49.10313333333333
2007-12-03,2007,12,3,Monday,0,29.367666666666665
2007-12-04,2007,12,4,Tuesday,1,34.4606
2007-12-05,2007,12,5,Wednesday,2,35.88533333333333
2007-12-06,2007,12,6,Thursday,3,41.46556666666667
2007-12-07,2007,12,7,Friday,4,29.483600000000003
2007-12-08,2007,12,8,Saturday,5,36.89006666666667
